Subject,CatNbr,Course Title,Sect,Type,Location,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024
ACMA,101,Introduction to Insurance,D100,LEC,BURNABY,,,,,,,,,,,,,,,120.0,,75.0
ACMA,101,Introduction to Insurance,E100,LEC,BURNABY,,,,,120.0,,,120.0,,,120.0,,,100.0,,,
ACMA,201,Interest Theory & Applications,D100,LEC,BURNABY,,,,,,,,,25.0,,,34.0,,,25.0,50.0,
ACMA,210,Math of Compound Interest,D100,LEC,BURNABY,,50.0,,,50.0,50.0,,,,,,,,,,,
ACMA,231,Tools for Decision Making,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,35.0
ACMA,301,Long-Term Actuarial Math I,D100,LEC,BURNABY,,,,,,,,30.0,,,25.0,,,25.0,,,25.0
ACMA,320,Actuarial Mathematics I,D100,LEC,BURNABY,,,25.0,,,20.0,,,,,,,,,,,
ACMA,321,Fundamentals of Short-Term Ins,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,25.0
ACMA,336,Job Practicum I,D100,COP,METRO,,,,,,10.0,,,10.0,10.0,,10.0,10.0,,10.0,10.0,10.0
ACMA,336,Job Practicum I,D100,PRA,METRO,,10.0,10.0,10.0,,,,,,,,,,,,,
ACMA,336,Job Practicum I,D200,COP,OFF,,,,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,10.0,10.0,,
ACMA,336,Job Practicum I,D200,PRA,OFF,,,10.0,,,,,,,,,,,,,,
ACMA,336,Job Practicum I,I100,COP,OFF,,,,,,10.0,,,,,,,10.0,,,,
ACMA,336,Job Practicum I,I100,PRA,OFF,10.0,,,,,,,,,,,,,,,,
ACMA,337,Job Practicum II,D100,COP,METRO,,,,,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0
ACMA,337,Job Practicum II,D100,PRA,METRO,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
ACMA,337,Job Practicum II,D200,COP,OFF,,,,,,10.0,10.0,,10.0,10.0,,,,10.0,10.0,10.0,
ACMA,337,Job Practicum II,D200,PRA,OFF,,,,10.0,,,,,,,,,,,,,
ACMA,337,Job Practicum II,I100,PRA,OFF,,10.0,,,,,,,,,,,,,,,
