Professor_Name,Department,Quality,Difficulty,Would_take_again,Class_Name,Review_Date
Samuel Black,Philosophy department,4.0,3.0,100%,PHIL120,"May 12th, 2024"
Jeff Derksen,English department,1.0,2.7,,105,"Sep 2nd, 2015"
Parveen Bawa,Kinesiology department,4.5,3.8,,KIN415,"Jan 7th, 2010"
Harvey DeRoo,English department,3.0,2.9,,SCFCSCFC,"Oct 28th, 2012"
Hemant Merchant,Business Administration department,1.0,2.8,,BUS492,"Sep 27th, 2023"
Alan Meichsner,Mathematics department,3.0,2.7,,MATH155,"Feb 6th, 2014"
Bruce Hiebert,History department,5.0,3.0,,HIST390,"Dec 31st, 2009"
Donald Hedges,Kinesiology department,5.0,2.9,100%,KIN241,"Jun 20th, 2023"
Mark Skinner,Archaeology department,5.0,3.4,,ARCH442,"Oct 28th, 2010"
Paul McFetridge,Linguistics department,5.0,2.1,,LING110,"Apr 12th, 2014"
Bill Havens,Computer Science department,4.0,3.3,,CMPT120,"Dec 4th, 2010"
Bill Barlethemy,Philosophy department,5.0,2.6,,PHIL150,"Dec 7th, 2013"
Pavol Hell,Computer Science department,1.0,3.5,,307,"Aug 14th, 2015"
Doug Wilson,Science department,5.0,2.3,,BISC329,"Nov 13th, 2014"
E.O. Boyanowsky,Criminal Justice department,4.0,3.3,,319,"Dec 2nd, 2014"
Marjorie Cohen,Political Science department,5.0,3.8,,GSWS350,"Apr 27th, 2012"
Mike Evans,Computer Science department,3.5,4.1,,CMPT300,"Mar 9th, 2014"
Stella Atkins,Computer Science department,4.0,1.9,,CMPT363,"Nov 11th, 2009"
Vivian Fang,Economics department,5.0,3.2,,ECON291,"Mar 31st, 2011"
John Jones,Engineering department,4.5,2.1,,ENSC100W,"Mar 9th, 2016"
B.D Roitberg,Science department,5.0,3.8,,BIO100,"Apr 15th, 2012"
Olga Volkoff,Business Administration department,4.0,4.1,,BUS468,"Jan 14th, 2013"
Iain Begg,Business Administration department,2.0,2.0,,BUS314,"Apr 21st, 2016"
Jenny Steinke,French department,4.5,2.0,,FREN120,"Apr 30th, 2016"
Charles Samuelson,Mathematics department,5.0,4.0,,MATH154,"Jan 13th, 2012"
K. Laird,Philosophy department,2.5,2.9,,PHIL203,"Feb 21st, 2009"
