COURSE  ,DIFFICULTY  ,WORKLOAD  ,RECCOMENDATION %  
EDUC 240,1.2,2.4,100
EDUC 100W,1.3,2.2,95.8
CMNS 220,1.3,2.8,100
GEOG 150,1.4,1.4,90
EDUC 230,1.4,1.8,100
LING 330,1.5,2,100
EDUC 252,1.7,2,100
GEOG 251,1.7,2,100
ENV 320W,1.7,2.3,100
CA 149,1.7,2.3,100
EDUC 471,1.7,2.7,66.7
FPA 104,1.8,3.3,100
ARCH 201,2,1,100
FREN 121,2,1.5,100
MSE 101W,2,1.5,50
HSCI 120,2,2,100
CMPT 475,2,2.3,100
GERO 101,2,2.5,100
CMPT 471,2,2.5,100
LING 160,2,2.5,62.5
CMNS 261,2,2.5,50
LING 322,2,2.5,50
POL 221,2,3,100
MBB 440,2,3,100
FPA 170,2,3,100
EDUC 199,2,3,83.3
JAPN 100,2,3,75
BUS 238,2,3.6,80
IAT 102,2,3.6,80
EASC 209W,2,4.5,0
EVSC 100,2.1,2.1,75
CMNS 110,2.1,2.5,85.7
ECON 104,2.2,2.7,100
BUS 381,2.2,2.5,81.8
CMNS 221,2.2,2.8,100
FAL X99,2.2,2.8,80
ENSC 100W,2.2,3,60
CRIM 101,2.2,2.8,86.2
ENGL 113W,2.3,1.5,100
BUS 346,2.3,2.8,100
CMNS 253W,2.3,3,100
CRIM 210,2.3,3,50
CA 142,2.3,2.7,57.1
CMNS 223W,2.3,3.1,71.4
GEOG 104,2.3,2.4,80
EDUC 250,2.3,2.3,100
PSYC 365,2.3,2.7,100
CMPT 110,2.3,3,66.7
SPAN 102,2.3,4,100
BPK 140,2.4,2.5,75
BUS 272,2.4,2.7,65
SA 150,2.4,2.3,68.8
ARCH 100,2.4,2.3,65.7
GEOG 111,2.4,3,86.7
GSWS 102,2.4,3.4,40
SA 101,2.4,3.1,75
HSCI 160,2.5,2.7,40
IAT 210,2.5,2.8,60
CMPT 354,2.5,1.5,100
EASC 107,2.5,1.5,50
ENSC 204,2.5,1.5,50
PHYS 390,2.5,2,50
PSYC 241,2.5,2.3,100
GEOG 221,2.5,2.3,50
REM 350,2.5,2.5,100
MSE 250,2.5,2.5,100
MSE 480,2.5,3,100
MBB 321,2.5,3,100
CRIM 103,2.5,3,100
PHYS 125,2.5,3,100
BPK 312,2.5,3,100
PHYS 285,2.5,3,100
CA 135,2.5,3,66.7
SCD 201,2.5,3,50
BPK 340,2.5,3,50
REM 445,2.5,3,0
FAN X99,2.5,3.1,50
HUM 130,2.5,3.2,83.3
ENGL 103W,2.5,3.3,100
FREN 120,2.5,3.3,50
CA 104,2.5,3.5,50
EDUC 322,2.5,4,50
IAT 233,2.5,5,50
BUS 303,2.5,2.6,73.7
CMPT 165,2.5,3,63.6
