Professor_Name,Department,Quality,Difficulty,Would_take_again,Class_Name,Review_Date
Samuel Black,Philosophy department,4.0,3,100%,PHIL120,"May 12th, 2024"
Jeff Derksen,English department,1.0,2.7,N/A,105,"Sep 2nd, 2015"
Jeff Derksen,English department,1.0,2.7,N/A,880,"Sep 2nd, 2015"
Jeff Derksen,English department,1.0,2.7,N/A,ENGL105,"Apr 5th, 2011"
Jeff Derksen,English department,1.0,2.7,N/A,ENGL105W,"Dec 7th, 2010"
Jeff Derksen,English department,1.0,2.7,N/A,ENG105W,"Oct 15th, 2010"
Jeff Derksen,English department,1.0,2.7,N/A,KING666,"Sep 24th, 2010"
Jeff Derksen,English department,1.0,2.7,N/A,ENGL359,"Mar 13th, 2009"
Jeff Derksen,English department,1.0,2.7,N/A,ENGL357,"Dec 4th, 2007"
Jeff Derksen,English department,1.0,2.7,N/A,ENG105,"Aug 2nd, 2006"
Jeff Derksen,English department,1.0,2.7,N/A,ENGLISH,"Jan 17th, 2006"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN415,"Jan 7th, 2010"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN205,"Apr 13th, 2009"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN305,"Jul 28th, 2008"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN861,"Apr 9th, 2007"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN,"Jun 19th, 2006"
Parveen Bawa,Kinesiology department,4.5,3.8,N/A,KIN306,"Dec 17th, 2005"
Harvey DeRoo,English department,3.0,2.9,N/A,SCFCSCFC,"Oct 28th, 2012"
Harvey DeRoo,English department,3.0,2.9,N/A,ENG360,"Apr 28th, 2012"
Harvey DeRoo,English department,3.0,2.9,N/A,ENGL204,"Aug 31st, 2008"
Harvey DeRoo,English department,3.0,2.9,N/A,ENGL102,"Jul 17th, 2007"
Harvey DeRoo,English department,3.0,2.9,N/A,ENGL300,"Apr 14th, 2005"
Harvey DeRoo,English department,3.0,2.9,N/A,ENG102,"Jan 17th, 2005"
Harvey DeRoo,English department,3.0,2.9,N/A,ENG204,"Nov 15th, 2004"
Harvey DeRoo,English department,3.0,2.9,N/A,ENGL2304,"Aug 24th, 2003"
Harvey DeRoo,English department,3.0,2.9,N/A,ENG304,"Apr 16th, 2003"
Hemant Merchant,Business Administration department,1.0,2.8,N/A,BUS492,"Sep 27th, 2023"
Hemant Merchant,Business Administration department,1.0,2.8,N/A,MBUS,"Dec 4th, 2012"
Hemant Merchant,Business Administration department,1.0,2.8,N/A,BUS346,"Mar 20th, 2007"
Hemant Merchant,Business Administration department,1.0,2.8,N/A,BUS435,"Apr 29th, 2006"
